Komoditas;Tanggal;Harga
Cabai Merah;16/12/2022;38,35
Cabai Merah;19/12/2022;38,8
Cabai Merah;20/12/2022;39,35
Cabai Merah;21/12/2022;39,4
Cabai Merah;22/12/2022;39,5
Cabai Merah;23/12/2022;39,55
Cabai Merah;26/12/2022;39,7
Cabai Merah;27/12/2022;39,7
Cabai Merah;28/12/2022;39,8
Cabai Merah;29/12/2022;40,05
Cabai Merah;30/12/2022;39,7
Cabai Merah;02/01/2023;42,35
Cabai Merah;03/01/2023;42,45
Cabai Merah;04/01/2023;41,55
Cabai Merah;05/01/2023;41
Cabai Merah;06/01/2023;41
Cabai Merah;09/01/2023;42,1
Cabai Merah;10/01/2023;42,1
Cabai Merah;11/01/2023;42,05
Cabai Merah;12/01/2023;41,8
Cabai Merah;13/01/2023;41,75
Cabai Merah;16/01/2023;41,75
Cabai Merah;17/01/2023;41,25
Cabai Merah;18/01/2023;41,1
Cabai Merah;19/01/2023;40,8
Cabai Merah;20/01/2023;40,45
Cabai Merah;23/01/2023;40,05
Cabai Merah;24/01/2023;40,9
Cabai Merah;25/01/2023;40,85
Cabai Merah;26/01/2023;40,55
Cabai Merah;27/01/2023;40,85
Cabai Merah;30/01/2023;40,75
Cabai Merah;31/01/2023;40,6
Cabai Merah;01/02/2023;40,75
Cabai Merah;02/02/2023;40,7
Cabai Merah;03/02/2023;41,6
Cabai Merah;06/02/2023;42,75
Cabai Merah;07/02/2023;42,9
Cabai Merah;08/02/2023;43,15
Cabai Merah;09/02/2023;43,2
Cabai Merah;10/02/2023;43,05
Cabai Merah;13/02/2023;42,65
Cabai Merah;14/02/2023;42,9
Cabai Merah;15/02/2023;42,95
Cabai Merah;16/02/2023;43,5
Cabai Merah;17/02/2023;43,8
Cabai Merah;20/02/2023;45,95
Cabai Merah;21/02/2023;46,35
Cabai Merah;22/02/2023;46,95
Cabai Merah;23/02/2023;47,1
Cabai Merah;24/02/2023;47,5
Cabai Merah;27/02/2023;46,75
Cabai Merah;28/02/2023;46,5
Cabai Merah;01/03/2023;46,55
Cabai Merah;02/03/2023;46,45
Cabai Merah;03/03/2023;46,05
Cabai Merah;06/03/2023;46,45
Cabai Merah;07/03/2023;46,45
Cabai Merah;08/03/2023;46,55
Cabai Merah;09/03/2023;46,6
Cabai Merah;10/03/2023;46,75
Cabai Merah;13/03/2023;48
Cabai Merah;14/03/2023;48,3
Cabai Merah;15/03/2023;48,6
Cabai Merah;16/03/2023;48,35
Cabai Merah;17/03/2023;48,8
Cabai Merah;20/03/2023;49,55
Cabai Merah;21/03/2023;50,55
Cabai Merah;22/03/2023;49,8
Cabai Merah;23/03/2023;50,5
Cabai Merah;24/03/2023;51,6
Cabai Merah;27/03/2023;48,85
Cabai Merah;28/03/2023;47,3
Cabai Merah;29/03/2023;45,5
Cabai Merah;30/03/2023;44,35
Cabai Merah;31/03/2023;43,45
Cabai Merah;03/04/2023;41,75
Cabai Merah;04/04/2023;41,15
Cabai Merah;05/04/2023;40,8
Cabai Merah;06/04/2023;40,7
Cabai Merah;07/04/2023;40,45
Cabai Merah;10/04/2023;40,6
Cabai Merah;11/04/2023;40,45
Cabai Merah;12/04/2023;40,15
Cabai Merah;13/04/2023;40,15
Cabai Merah;14/04/2023;40,1
Cabai Merah;17/04/2023;44,8
Cabai Merah;18/04/2023;46,9
Cabai Merah;19/04/2023;46,05
Cabai Merah;20/04/2023;46,2
Cabai Merah;21/04/2023;46,15
Cabai Merah;24/04/2023;46,3
Cabai Merah;25/04/2023;46,25
Cabai Merah;26/04/2023;47,8
Cabai Merah;27/04/2023;46,35
Cabai Merah;28/04/2023;44,2
Cabai Merah;01/05/2023;39,05
Cabai Merah;02/05/2023;41
Cabai Merah;03/05/2023;40,2
Cabai Merah;04/05/2023;39,85
